model,attack,dataset,asr_summary,asr_report,asr_diff,avg_perturb_summary,avg_perturb_report,avg_perturb_diff,pert_grammar_summary,pert_grammar_report,grammar_diff
Bert,Pwws,ag_news,0.44666666666666655,0.48,-0.03333333333333345,24.264694320703377,26.84,-2.5753056792966227,2.6166666666666667,-1.0,3.6166666666666667
Bert,Pwws,imdb,0.91,0.92,-0.010000000000000009,5.618654353371379,6.45,-0.8313456466286215,8.816666666666666,-1.0,9.816666666666666
Bert,Pwws,mr,0.7166666666666667,0.70,-0.01666666666666665,11.772724332028654,8.64,3.132724332028653,3.92,-1.0,4.92
Bert,Textfooler,ag_news,0.7133333333333334,0.9,-0.18666666666666665,28.533604439313223,26.96,1.5736044393132218,3.1533333333333333,-1.0,4.153333333333333
Bert,Textfooler,imdb,0.9033333333333331,0.9,0.0033333333333330772,8.172127474521945,9.8,-1.6278725254780557,9.086666666666666,-1.0,10.086666666666666
Bert,Textfooler,mr,0.7766666666666666,0.75,0.026666666666666616,14.604040591588689,15.46,-0.8559594084113122,3.99,-1.0,4.99
Roberta,Pwws,ag_news,0.55,0.65,-0.09999999999999998,24.17980968944381,24.55,-0.3701903105561897,2.69,-1.0,3.69
Roberta,Pwws,imdb,0.9333333333333331,0.9,0.033333333333333104,6.69495230079468,5.25,1.4449523007946796,8.816666666666666,-1.0,9.816666666666666
Roberta,Pwws,mr,0.7566666666666667,0.65,0.10666666666666669,12.079590329046992,12.15,-0.07040967095300843,3.9766666666666666,-1.0,4.976666666666667
Roberta,Textfooler,ag_news,0.78,0.85,-0.06999999999999995,26.665705116750605,26.12,0.5457051167506037,3.026666666666667,-1.0,4.026666666666667
Roberta,Textfooler,imdb,0.95,0.9,0.04999999999999993,7.197846548945137,7.35,-0.152153451054863,9.156666666666666,-1.0,10.156666666666666
Roberta,Textfooler,mr,0.8233333333333335,0.8,0.023333333333333428,11.946798880760324,14.06,-2.113201119239676,3.923333333333333,-1.0,4.923333333333333
